Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
554,Harry Wilson,wls WAL,"FW,MF",Fulham,28-049,1997,11.1,37,3.32,27,6,0,1,2,1,3,0.27,2,0,0,0,1,0,Matches
555,Harry Winks,eng ENG,MF,Leicester City,29-097,1996,17.1,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0,Matches
556,Ben Winterburn,eng ENG,"FW,MF",Bournemouth,20-248,2004,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
557,Yoane Wissa,cd COD,FW,Brentford,28-249,1996,29.4,61,2.07,36,1,3,10,10,1,8,0.27,7,0,0,0,1,0,Matches
558,Chris Wood,nz NZL,FW,Nott'ham Forest,33-154,1991,29.9,40,1.34,32,0,2,4,0,2,5,0.17,4,0,0,0,0,1,Matches
559,Nathan Wood-Gordon,eng ENG,DF,Southampton,22-344,2002,6.9,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
560,Luke Woolfenden,eng ENG,DF,Ipswich Town,26-201,1998,13.2,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
561,Yehor Yarmoliuk,ua UKR,MF,Brentford,21-070,2004,13.3,22,1.66,19,0,2,1,0,0,2,0.15,2,0,0,0,0,0,Matches
562,Ryan Yates,eng ENG,MF,Nott'ham Forest,27-170,1997,20.8,36,1.73,25,0,1,6,2,2,3,0.14,2,0,0,1,0,0,Matches
563,Leny Yoro,fr FRA,DF,Manchester Utd,19-178,2005,12.4,8,0.65,5,0,0,2,0,1,0,0.00,0,0,0,0,0,0,Matches
564,Ashley Young,eng ENG,"DF,FW",Everton,39-305,1985,18.0,38,2.11,28,6,0,1,2,1,6,0.33,4,0,0,1,0,1,Matches
565,Illia Zabarnyi,ua UKR,DF,Bournemouth,22-251,2002,31.6,28,0.89,25,1,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
566,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,28-146,1996,5.1,16,3.16,11,1,1,2,1,0,2,0.40,2,0,0,0,0,0,Matches
567,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23-353,2001,15.6,31,1.99,28,0,0,2,1,0,3,0.19,1,0,0,1,1,0,Matches
568,Martin Ødegaard,no NOR,MF,Arsenal,26-144,1998,23.7,115,4.86,95,12,2,4,2,0,14,0.59,12,2,0,0,0,0,Matches
