Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
496,James Tarkowski,eng ENG,DF,Everton,32-172,1992,32.5,1,15,4,26.7,0.46,0.12,0.07,0.25,8.4,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
497,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-049,1999,18.6,3,50,15,30.0,2.69,0.81,0.06,0.20,20.2,4,0,0,5.3,5.3,0.11,-2.3,-2.3,Matches
498,Charlie Taylor,eng ENG,DF,Southampton,31-234,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
499,Jack Taylor,ie IRL,MF,Ipswich Town,26-321,1998,8.5,1,17,4,23.5,2.00,0.47,0.06,0.25,23.0,0,0,0,0.7,0.7,0.04,+0.3,+0.3,Matches
500,Mathys Tel,fr FRA,FW,Tottenham,20-013,2005,7.2,2,20,7,35.0,2.77,0.97,0.05,0.14,16.2,1,1,1,2.3,1.5,0.07,-0.3,-0.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
501,Kenny Tete,nl NED,DF,Fulham,29-213,1995,16.7,0,22,2,9.1,1.32,0.12,0.00,0.00,16.1,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
502,Thiago,br BRA,FW,Brentford,23-318,2001,1.6,0,1,0,0.0,0.63,0.00,0.00,,14.7,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
503,Luke Thomas,eng ENG,DF,Leicester City,23-334,2001,9.7,0,5,0,0.0,0.52,0.00,0.00,,16.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
504,Youri Tielemans,be BEL,MF,Aston Villa,28-003,1997,33.3,3,38,12,31.6,1.14,0.36,0.08,0.25,20.3,0,0,1,3.1,2.3,0.06,-0.1,+0.7,Matches
505,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-339,1997,2.0,0,1,0,0.0,0.50,0.00,0.00,,2.6,0,0,0,0.2,0.2,0.21,-0.2,-0.2,Matches
506,Jurriën Timber,nl NED,DF,Arsenal,23-327,2001,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
507,Jean-Clair Todibo,fr FRA,DF,West Ham,25-131,1999,17.4,0,4,0,0.0,0.23,0.00,0.00,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
508,Harry Toffolo,eng ENG,DF,Nott'ham Forest,29-264,1995,1.5,0,1,0,0.0,0.66,0.00,0.00,,28.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
509,Takehiro Tomiyasu,jp JPN,DF,Arsenal,26-186,1998,0.1,0,1,0,0.0,12.86,0.00,0.00,,1.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
510,Sandro Tonali,it ITA,MF,Newcastle Utd,25-002,2000,26.2,3,32,10,31.3,1.22,0.38,0.09,0.30,19.6,3,0,0,3.7,3.7,0.11,-0.7,-0.7,Matches
511,Pau Torres,es ESP,DF,Aston Villa,28-114,1997,20.2,0,8,2,25.0,0.40,0.10,0.00,0.00,11.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
512,Conor Townsend,eng ENG,DF,Ipswich Town,32-067,1993,3.7,0,1,0,0.0,0.27,0.00,0.00,,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
513,Adama Traoré,es ESP,"FW,MF",Fulham,29-105,1996,17.7,2,37,11,29.7,2.09,0.62,0.05,0.18,14.3,0,0,0,3.9,3.9,0.10,-1.9,-1.9,Matches
514,Boubacar Traoré,ml MLI,MF,Wolves,23-263,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
515,Mark Travers,ie IRL,GK,Bournemouth,25-357,1999,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
516,Ryan Trevitt,eng ENG,MF,Brentford,22-059,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
517,Kieran Trippier,eng ENG,DF,Newcastle Utd,34-233,1990,14.2,0,3,0,0.0,0.21,0.00,0.00,,22.2,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
518,Leandro Trossard,be BEL,FW,Arsenal,30-157,1994,26.2,8,68,21,30.9,2.60,0.80,0.12,0.38,15.9,0,0,0,6.8,6.8,0.10,+1.2,+1.2,Matches
519,Kostas Tsimikas,gr GRE,DF,Liverpool,28-363,1996,8.3,0,4,2,50.0,0.48,0.24,0.00,0.00,16.1,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
520,Axel Tuanzebe,cd COD,DF,Ipswich Town,27-177,1997,16.1,0,4,0,0.0,0.25,0.00,0.00,,15.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
521,Destiny Udogie,it ITA,DF,Tottenham,22-163,2002,20.4,0,5,1,20.0,0.25,0.05,0.00,0.00,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
522,Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24-029,2001,19.0,1,19,4,21.1,1.00,0.21,0.05,0.25,21.7,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
