Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-295,1995,23,20,1744,19.4,0,0,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,138,6,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-081,1995,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-161,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-161,2002,12,5,580,6.4,1,2,3,1,0,0,4,0,1.3,1.3,1.5,2.8,15,37,17,0.16,0.31,0.47,0.16,0.47,0.21,0.23,0.43,0.21,0.43,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-215,1998,31,28,2296,25.5,3,6,9,3,0,0,5,0,1.8,1.8,6.7,8.5,50,221,90,0.12,0.24,0.35,0.12,0.35,0.07,0.26,0.33,0.07,0.33,Matches
16,Alisson,br BRA,GK,Liverpool,32-220,1992,25,25,2238,24.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-089,1994,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.00,0.00,0.00,0.00,0.00,0.30,0.15,0.45,0.30,0.45,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-198,1997,25,19,1633,18.1,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,21,75,18,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.06,0.02,0.06,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-096,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-055,2007,4,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,5,17,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-296,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-112,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-344,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-344,1996,26,26,2313,25.7,0,0,0,0,0,0,5,1,1.0,1.0,0.3,1.3,13,105,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-185,2002,34,30,2467,27.4,2,6,8,2,0,0,7,0,1.9,1.9,3.1,5.0,46,128,87,0.07,0.22,0.29,0.07,0.29,0.07,0.11,0.18,0.07,0.18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,André,br BRA,MF,Wolves,23-298,2001,30,28,2249,25.0,0,0,0,0,0,0,7,0,0.4,0.4,0.7,1.1,8,95,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
27,Michail Antonio,jm JAM,FW,West Ham,35-043,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41,Matches
28,Antony,br BRA,"DF,MF",Manchester Utd,25-075,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-270,2001,10,6,426,4.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,14,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-293,2001,32,13,1373,15.3,2,0,2,2,0,1,0,0,5.1,4.3,0.4,4.6,19,14,64,0.13,0.00,0.13,0.13,0.13,0.33,0.02,0.36,0.28,0.31,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-072,1993,24,23,2080,23.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-293,1996,30,20,1909,21.2,3,0,3,3,0,0,1,0,2.7,2.7,1.6,4.3,35,71,64,0.14,0.00,0.14,0.14,0.14,0.13,0.07,0.20,0.13,0.20,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-089,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-111,2007,3,0,48,0.5,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.4,1,1,0,0.00,0.00,0.00,0.00,0.00,0.69,0.14,0.82,0.69,0.82,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-219,1994,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-109,1996,10,6,540,6.0,3,1,4,3,0,2,1,0,4.2,2.6,0.8,3.4,16,34,26,0.50,0.17,0.67,0.50,0.67,0.70,0.14,0.84,0.43,0.57,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-122,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-271,1997,25,3,408,4.5,1,0,1,1,0,0,0,0,2.1,2.1,0.1,2.2,6,7,20,0.22,0.00,0.22,0.22,0.22,0.47,0.02,0.49,0.47,0.49,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-216,2003,31,19,1759,19.5,1,1,2,1,0,0,3,0,2.2,2.2,2.2,4.4,30,69,59,0.05,0.05,0.10,0.05,0.10,0.11,0.11,0.23,0.11,0.23,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-241,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-241,1991,27,16,1425,15.8,5,0,5,4,1,1,5,0,3.0,2.2,1.0,3.2,42,37,77,0.32,0.00,0.32,0.25,0.25,0.19,0.06,0.25,0.14,0.20,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-045,2001,5,3,334,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,17,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-274,1997,23,14,1138,12.6,1,2,3,1,0,0,3,0,1.7,1.7,1.5,3.3,57,35,121,0.08,0.16,0.24,0.08,0.24,0.14,0.12,0.26,0.14,0.26,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-127,2004,31,28,2403,26.7,3,1,4,3,0,0,8,1,3.0,3.0,1.3,4.3,40,111,27,0.11,0.04,0.15,0.11,0.15,0.11,0.05,0.16,0.11,0.16,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-156,1993,18,3,571,6.3,3,1,4,3,0,0,3,0,1.7,1.7,0.6,2.3,15,33,10,0.47,0.16,0.63,0.47,0.63,0.27,0.10,0.37,0.27,0.37,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-152,1997,30,14,1503,16.7,9,4,13,9,0,0,0,0,6.6,6.6,3.9,10.4,80,72,172,0.54,0.24,0.78,0.54,0.78,0.39,0.23,0.62,0.39,0.62,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-130,1999,33,32,2894,32.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,36,107,15,0.03,0.00,0.03,0.03,0.03,0.03,0.00,0.04,0.03,0.04,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-026,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-028,1996,29,29,2441,27.1,2,0,2,2,0,0,7,0,0.7,0.7,0.5,1.2,5,59,2,0.07,0.00,0.07,0.07,0.07,0.02,0.02,0.04,0.02,0.04,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-150,2001,4,2,331,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,5,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-317,1998,32,19,1551,17.2,2,6,8,2,0,0,3,0,1.3,1.3,3.6,4.9,49,39,83,0.12,0.35,0.46,0.12,0.46,0.08,0.21,0.28,0.08,0.28,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-319,1997,23,19,1518,16.9,2,0,2,2,0,0,7,0,1.3,1.3,0.4,1.7,26,99,34,0.12,0.00,0.12,0.12,0.12,0.08,0.03,0.10,0.08,0.10,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-301,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Sander Berge,no NOR,MF,Fulham,27-085,1998,28,24,2091,23.2,0,0,0,0,0,0,5,0,0.2,0.2,0.6,0.8,27,116,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
