Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
32,Aaron Ramsdale,eng ENG,GK,Southampton,26-361,1998,27,27,2430,27.0,62,2.30,173,109,67.1,2,4,21,2,7.4,7,5,2,0,28.6,Matches
33,David Raya,es ESP,GK,Arsenal,29-237,1995,35,35,3150,35.0,31,0.89,108,77,74.1,18,13,4,12,34.3,3,3,0,0,0.0,Matches
34,José Sá,pt POR,GK,Wolves,32-113,1993,27,27,2430,27.0,45,1.67,108,63,62.0,11,4,12,7,25.9,6,4,2,0,33.3,Matches
35,Robert Sánchez,es ESP,GK,Chelsea,27-173,1997,29,29,2610,29.0,32,1.10,118,85,76.3,15,9,5,8,27.6,5,4,1,0,20.0,Matches
36,Matz Sels,be BEL,GK,Nott'ham Forest,33-073,1992,35,35,3150,35.0,42,1.20,152,110,74.3,18,7,10,13,37.1,3,3,0,0,0.0,Matches
37,Jason Steele,eng ENG,GK,Brighton,34-265,1990,2,2,180,2.0,1,0.50,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,Matches
38,Jakub Stolarczyk,pl POL,GK,Leicester City,24-142,2000,7,7,630,7.0,12,1.71,31,19,61.3,2,0,5,1,14.3,0,0,0,0,,Matches
39,Mark Travers,ie IRL,GK,Bournemouth,25-357,1999,5,5,450,5.0,5,1.00,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches
40,Bart Verbruggen,nl NED,GK,Brighton,22-265,2002,33,33,2970,33.0,55,1.67,133,80,64.7,11,13,9,6,18.2,8,8,0,0,0.0,Matches
41,Guglielmo Vicario,it ITA,GK,Tottenham,28-215,1996,23,23,2070,23.0,33,1.43,94,63,64.9,9,3,11,4,17.4,0,0,0,0,,Matches
42,Christian Walton,eng ENG,GK,Ipswich Town,29-182,1995,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches
43,Danny Ward,wls WAL,GK,Leicester City,31-322,1993,2,1,135,1.5,6,4.00,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,Matches
