player_name,estimated_value,predicted_value
Joël Veltman,5.7,4.61228964091464
Joško Gvardiol,78.7,73.6224040903541
Jurriën Timber,65.5,54.05365531442245
Justin Kluivert,44.8,51.29282858339917
Jørgen Strand Larsen,30.8,34.450257374402575
Kai Havertz,70.5,61.69027146089204
Kalvin Phillips,17.2,15.71905585105716
Kamaldeen Sulemana,18.5,24.685797573297112
Kaoru Mitoma,50.6,54.14043631825689
Keane Lewis-Potter,27.1,31.303364080021282
Kenny Tete,14.0,14.53314241960557
Kepa Arrizabalaga,12.0,15.507246025999173
Kevin Schade,29.7,35.003020430495425
Kevin De Bruyne,20.1,21.655829112554112
Kieran Trippier,5.1,5.659223484848484
Kobbie Mainoo,66.0,49.844312586390245
Konstantinos Mavropanos,19.1,33.8287918858171
Kristoffer Ajer,21.5,21.896704475301085
Kyle Walker,4.9,3.9505194444444447
Kyle Walker-Peters,16.6,27.360060378510376
Leandro Trossard,31.8,30.220013585434177
Leif Davis,28.2,28.195213578763788
Leny Yoro,71.0,50.22720721500722
Leon Bailey,39.2,29.61298837738623
Lesley Ugochukwu,27.0,29.79875056215714
Levi Colwill,56.6,58.801610078810064
Lewis Hall,34.5,39.87175962432819
Lewis Cook,19.3,31.40385097495408
Lewis Dunk,7.4,10.957664285714289
Liam Delap,37.0,38.1126959525224
Lisandro Martínez,49.2,47.199055195360195
Lucas Digne,13.6,13.845719080050378
Lucas Paquetá,71.2,41.70509371352643
Lucas Bergvall,32.6,38.201614727523946
Luis Díaz,71.0,56.96707562247123
Luke Woolfenden,2.0,10.537750649058546
Mads Roerslev,8.4,16.918170734823835
Mads Hermansen,19.8,22.34820058101065
Malo Gusto,32.8,38.16955660173161
Manuel Akanji,42.8,31.412196674436668
Manuel Ugarte Ribeiro,60.4,31.438861642260868
Marc Guéhi,54.2,49.983971812909324
Marc Cucurella,39.4,45.62393705599956
Marcos Senesi,20.4,24.66574579873462
Marcus Tavernier,24.4,36.221834023435825
Marcus Rashford,53.6,51.315837445887446
Mario Lemina,5.2,7.681382431457433
Mark Flekken,13.6,17.28177663083293
Martin Ødegaard,126.5,96.67079004329004
Mateo Kovačić,25.3,26.248288066378077
Mateus Fernandes,22.5,34.872101356847494
Matheus Nunes,42.3,40.99859836136086
Matheus Cunha,62.6,56.538356198376775
Matt Doherty,4.2,6.4240889194139195
Matthijs de Ligt,52.2,47.07705555918077
Matty Cash,32.9,25.733549252703956
Matz Sels,9.1,10.92535712299397
Max Kilman,36.7,40.763739867077355
Maxence Lacroix,27.7,33.34945274243124
Micky van de Ven,61.8,48.349581919006894
Mikel Merino,40.5,31.019166281233378
Mikkel Damsgaard,28.6,43.15354483172055
Milos Kerkez,61.5,58.11891422773134
