Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-053,1999,31.0,1336,1659,80.5,21497,6609,691,769,89.9,519,634,81.9,93,168,55.4,3,2.0,2.5,+1.0,26,61,25,8,102,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-311,2000,29.5,1011,1390,72.7,17333,6884,509,597,85.3,349,476,73.3,123,231,53.2,10,7.8,6.5,+2.2,59,153,67,17,213,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,24-011,2001,3.0,89,114,78.1,1435,534,43,51,84.3,36,43,83.7,6,10,60.0,0,0.0,0.0,0.0,0,13,0,0,11,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-114,2006,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-233,1998,6.4,373,430,86.7,6976,2194,118,132,89.4,226,245,92.2,25,45,55.6,0,0.1,0.1,-0.1,2,22,2,1,17,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-016,1993,12.5,797,906,88.0,14950,5958,267,294,90.8,445,472,94.3,70,111,63.1,0,0.2,0.5,-0.2,2,43,2,0,50,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-118,2000,28.5,854,1194,71.5,14708,5905,398,463,86.0,367,474,77.4,75,201,37.3,2,4.3,4.2,-2.3,54,30,26,11,55,Matches
124,Craig Dawson,eng ENG,DF,Wolves,35-004,1990,10.8,484,559,86.6,9745,3180,149,161,92.5,267,287,93.0,57,95,60.0,0,0.0,0.1,0.0,2,22,1,0,20,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-316,1991,17.1,799,1052,76.0,13542,3840,408,477,85.5,301,392,76.8,78,135,57.8,7,7.6,5.8,-0.6,51,80,51,11,135,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
126,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,32-097,1993,8.3,145,206,70.4,1883,587,88,108,81.5,39,53,73.6,5,15,33.3,2,1.2,0.2,+0.8,6,9,5,0,15,Matches
127,Liam Delap,eng ENG,FW,Ipswich Town,22-091,2003,27.7,211,345,61.2,2913,647,118,167,70.7,66,104,63.5,9,23,39.1,2,1.9,1.4,+0.1,21,16,6,0,30,Matches
128,Sepp van den Berg,nl NED,DF,Brentford,23-141,2001,25.7,958,1131,84.7,16548,5265,415,473,87.7,475,533,89.1,60,96,62.5,0,0.5,0.5,-0.5,5,57,3,1,72,Matches
129,Justin Devenny,nir NIR,MF,Crystal Palace,21-211,2003,4.8,120,170,70.6,1883,518,66,82,80.5,40,58,69.0,8,21,38.1,0,0.4,0.4,-0.4,6,15,4,1,16,Matches
130,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-246,1998,2.9,127,152,83.6,1898,319,75,82,91.5,47,56,83.9,5,10,50.0,1,1.1,0.2,-0.1,3,12,3,0,14,Matches
131,Amad Diallo,ci CIV,"FW,MF",Manchester Utd,22-303,2002,18.2,676,815,82.9,9329,1915,417,461,90.5,192,225,85.3,34,64,53.1,6,4.0,3.7,+2.0,40,25,30,5,55,Matches
132,Rúben Dias,pt POR,DF,Manchester City,27-361,1997,22.2,1943,2076,93.6,33548,10768,814,839,97.0,1002,1040,96.3,101,151,66.9,0,0.3,1.0,-0.3,5,189,5,0,122,Matches
133,Luis Díaz,co COL,FW,Liverpool,28-117,1997,24.7,697,827,84.3,11124,2406,374,422,88.6,239,278,86.0,56,68,82.4,5,4.9,4.3,+0.1,54,45,43,6,103,Matches
134,Tyler Dibling,eng ENG,"FW,MF",Southampton,19-059,2006,19.4,472,585,80.7,7050,1457,267,296,90.2,172,202,85.1,20,46,43.5,0,1.5,1.4,-1.5,20,25,20,1,61,Matches
135,Lucas Digne,fr FRA,DF,Aston Villa,31-294,1993,25.1,932,1240,75.2,15153,4888,472,535,88.2,379,481,78.8,59,147,40.1,4,4.4,3.9,-0.4,35,43,29,18,55,Matches
136,Issa Diop,fr FRA,DF,Fulham,28-121,1997,14.9,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25,Matches
137,Axel Disasi,fr FRA,DF,Aston Villa,27-060,1998,5.4,243,280,86.8,4080,1517,103,109,94.5,131,146,89.7,8,15,53.3,0,0.4,0.3,-0.4,3,14,3,0,16,Matches
138,Axel Disasi,fr FRA,DF,Chelsea,27-060,1998,4.0,266,293,90.8,4218,1367,136,144,94.4,117,126,92.9,9,13,69.2,0,0.1,0.1,-0.1,2,20,2,0,16,Matches
139,Roman Dixon,eng ENG,DF,Everton,20-135,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches
140,Nasser Djiga,bf BFA,"DF,FW",Wolves,22-176,2002,0.2,8,8,100.0,113,32,4,4,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
141,Matt Doherty,ie IRL,DF,Wolves,33-114,1992,21.8,1003,1214,82.6,18738,6158,407,450,90.4,475,549,86.5,108,175,61.7,1,1.5,1.2,-0.5,11,88,14,1,76,Matches
142,Jeremy Doku,be BEL,"FW,MF",Manchester City,22-348,2002,15.5,558,704,79.3,7829,1408,367,426,86.2,173,210,82.4,12,18,66.7,6,4.4,3.4,+1.6,28,12,44,5,66,Matches
143,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-316,1998,19.3,725,833,87.0,10492,3013,409,447,91.5,247,274,90.1,28,48,58.3,1,1.3,1.5,-0.3,13,73,9,1,68,Matches
144,Patrick Dorgu,dk DEN,DF,Manchester Utd,20-196,2004,7.0,280,351,79.8,3771,916,185,209,88.5,79,107,73.8,6,17,35.3,0,0.4,1.1,-0.4,7,15,7,2,23,Matches
145,Alfie Dorrington,eng ENG,DF,Tottenham,20-020,2005,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
146,Abdoulaye Doucouré,ml MLI,MF,Everton,32-129,1993,26.9,676,849,79.6,10229,2133,354,416,85.1,250,301,83.1,40,55,72.7,1,2.3,1.2,-1.3,26,44,14,0,78,Matches
147,Cheick Doucouré,ml MLI,MF,Crystal Palace,25-122,2000,5.0,174,204,85.3,2909,823,84,94,89.4,70,78,89.7,16,20,80.0,0,0.0,0.1,0.0,1,17,3,0,19,Matches
148,Flynn Downes,eng ENG,MF,Southampton,26-110,1999,20.9,890,988,90.1,13048,2626,508,548,92.7,316,343,92.1,33,48,68.8,0,1.1,1.4,-1.1,15,54,12,0,63,Matches
149,Tommy Doyle,eng ENG,MF,Wolves,23-205,2001,5.4,321,392,81.9,6591,2010,112,119,94.1,138,155,89.0,61,93,65.6,1,0.5,0.3,+0.5,7,44,3,0,40,Matches
150,Radu Drăgușin,ro ROU,DF,Tottenham,23-096,2002,13.9,716,840,85.2,13638,5250,223,245,91.0,437,470,93.0,47,107,43.9,0,0.4,0.2,-0.4,4,52,2,1,37,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
151,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-115,1989,10.0,265,333,79.6,5932,3082,58,58,100.0,161,161,100.0,45,112,40.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
152,Lewis Dunk,eng ENG,DF,Brighton,33-170,1991,23.1,1778,1953,91.0,32940,10612,668,693,96.4,954,1002,95.2,143,228,62.7,0,0.5,1.0,-0.5,6,157,6,0,142,Matches
153,Jáder Durán,co COL,FW,Aston Villa,21-148,2003,7.1,115,163,70.6,1558,307,68,84,81.0,34,50,68.0,5,11,45.5,0,0.2,0.3,-0.2,4,10,1,0,13,Matches
154,Ederson,br BRA,GK,Manchester City,31-266,1993,22.8,730,828,88.2,17943,11813,129,129,100.0,421,428,98.4,177,267,66.3,4,1.5,0.2,+2.5,4,20,1,0,1,Matches
155,George Edmundson,eng ENG,DF,Ipswich Town,27-252,1997,0.0,1,2,50.0,9,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
156,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-114,1998,1.3,17,28,60.7,230,46,11,16,68.8,4,7,57.1,1,1,100.0,0,0.0,0.0,0.0,1,2,0,0,4,Matches
157,Odsonne Édouard,fr FRA,FW,Leicester City,27-114,1998,0.3,6,8,75.0,59,5,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,Matches
158,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-102,2003,0.7,25,33,75.8,316,67,19,21,90.5,6,7,85.7,0,3,0.0,0,0.1,0.2,-0.1,1,0,3,0,4,Matches
159,Ronnie Edwards,eng ENG,DF,Southampton,22-043,2003,0.1,5,5,100.0,109,0,0,0,,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
160,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,23-013,2002,24.8,479,735,65.2,6909,2292,289,349,82.8,127,198,64.1,38,115,33.0,9,4.8,4.2,+4.2,44,29,24,7,54,Matches
161,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-036,2003,3.0,181,222,81.5,3087,724,98,107,91.6,60,74,81.1,17,25,68.0,1,0.9,0.6,+0.1,6,18,4,0,29,Matches
162,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-120,2006,0.5,25,34,73.5,423,84,13,16,81.3,9,11,81.8,3,4,75.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
163,Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-107,2004,7.9,148,209,70.8,2405,712,71,91,78.0,58,77,75.3,10,20,50.0,3,1.2,1.0,+1.8,10,13,7,1,22,Matches
164,Julio Enciso,py PAR,"MF,FW",Brighton,21-107,2004,3.3,99,150,66.0,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14,Matches
165,Wataru Endo,jp JPN,MF,Liverpool,32-090,1993,2.6,148,159,93.1,2295,527,76,81,93.8,58,61,95.1,8,8,100.0,0,0.1,0.1,-0.1,2,14,1,0,14,Matches
166,Christian Eriksen,dk DEN,MF,Manchester Utd,33-085,1992,11.4,569,719,79.1,9538,2975,305,331,92.1,184,228,80.7,59,124,47.6,2,2.9,2.2,-0.9,27,53,11,4,53,Matches
167,Romain Esse,eng ENG,MF,Crystal Palace,19-362,2005,0.4,12,15,80.0,172,66,8,9,88.9,3,3,100.0,1,3,33.3,0,0.1,0.1,-0.1,1,1,0,0,1,Matches
168,Pervis Estupiñán,ec ECU,DF,Brighton,27-109,1998,24.7,1245,1494,83.3,18925,5726,734,785,93.5,413,496,83.3,72,147,49.0,1,2.1,2.3,-1.1,24,97,32,18,116,Matches
169,Evanilson,br BRA,FW,Bournemouth,25-216,1999,22.9,215,307,70.0,2631,580,137,182,75.3,46,63,73.0,10,15,66.7,1,1.6,1.7,-0.6,23,14,3,0,24,Matches
170,Jake Evans,,FW,Leicester City,,,0.1,1,1,100.0,16,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
171,Jonny Evans,nir NIR,DF,Manchester Utd,37-127,1988,3.2,174,196,88.8,2809,784,82,87,94.3,81,90,90.0,6,12,50.0,0,0.0,0.0,0.0,0,9,1,0,8,Matches
172,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-315,1998,27.0,735,987,74.5,12395,3261,361,428,84.3,284,340,83.5,70,156,44.9,8,5.2,3.8,+2.8,54,47,35,4,89,Matches
173,Łukasz Fabiański,pl POL,GK,West Ham,40-022,1985,11.9,304,454,67.0,8756,6129,53,53,100.0,147,148,99.3,104,252,41.3,0,0.0,0.0,0.0,0,4,0,0,0,Matches
174,Wout Faes,be BEL,DF,Leicester City,27-037,1998,28.3,1252,1428,87.7,23226,8100,481,513,93.8,666,701,95.0,102,190,53.7,0,0.1,0.4,-0.1,4,79,6,0,80,Matches
175,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-063,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
176,João Félix,pt POR,"FW,MF",Chelsea,25-181,1999,4.1,171,199,85.9,2588,663,95,105,90.5,62,68,91.2,10,15,66.7,1,1.0,0.5,0.0,6,22,8,0,26,Matches
177,Evan Ferguson,ie IRL,FW,West Ham,20-203,2004,1.7,28,37,75.7,375,21,21,26,80.8,5,7,71.4,1,2,50.0,0,0.3,0.3,-0.3,2,1,0,0,1,Matches
178,Evan Ferguson,ie IRL,FW,Brighton,20-203,2004,2.7,43,58,74.1,484,44,31,36,86.1,8,11,72.7,1,4,25.0,0,0.4,0.4,-0.4,3,1,0,0,1,Matches
179,Bruno Fernandes,pt POR,MF,Manchester Utd,30-244,1994,30.6,1522,2024,75.2,26743,9407,732,844,86.7,547,680,80.4,190,361,52.6,9,7.6,7.0,+1.4,84,176,73,11,281,Matches
180,Mateus Fernandes,pt POR,MF,Southampton,20-304,2004,29.3,1003,1256,79.9,16952,3950,474,539,87.9,380,444,85.6,99,179,55.3,3,2.6,3.0,+0.4,31,91,21,4,131,Matches
181,Enzo Fernández,ar ARG,MF,Chelsea,24-113,2001,29.7,1429,1786,80.0,25393,7117,653,734,89.0,590,694,85.0,153,264,58.0,7,6.5,6.1,+0.5,73,156,39,7,199,Matches
182,Mark Flekken,nl NED,GK,Brentford,31-331,1993,33.4,1179,1606,73.4,34812,23832,142,145,97.9,637,653,97.5,400,801,49.9,2,0.5,0.1,+1.5,3,47,2,0,0,Matches
183,Phil Foden,eng ENG,"MF,FW",Manchester City,24-347,2000,18.8,743,884,84.0,11571,2445,444,490,90.6,224,251,89.2,62,104,59.6,2,4.7,5.1,-2.7,42,40,35,5,95,Matches
184,Wesley Fofana,fr FRA,DF,Chelsea,24-144,2000,13.0,724,803,90.2,12262,3415,306,326,93.9,385,416,92.5,26,42,61.9,0,0.4,0.2,-0.4,6,54,1,0,32,Matches
185,Carlos Forbs,pt POR,"MF,FW",Wolves,21-052,2004,2.7,60,91,65.9,788,228,39,51,76.5,19,26,73.1,1,5,20.0,0,0.0,0.1,0.0,1,2,3,1,8,Matches
186,Fraser Forster,eng ENG,GK,Tottenham,37-054,1988,7.0,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
187,Matheus França,br BRA,"FW,MF",Crystal Palace,21-039,2004,0.3,4,8,50.0,69,35,2,3,66.7,2,4,50.0,0,0,,0,0.0,0.2,0.0,0,1,0,0,2,Matches
188,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-075,1994,3.4,77,103,74.8,1121,208,43,46,93.5,28,40,70.0,3,10,30.0,0,0.1,0.1,-0.1,2,3,1,0,8,Matches
189,Tyler Fredricson,eng ENG,DF,Manchester Utd,20-076,2005,1.8,110,122,90.2,1932,434,47,50,94.0,54,59,91.5,8,9,88.9,0,0.0,0.0,0.0,0,8,0,0,8,Matches
190,Niclas Füllkrug,de GER,FW,West Ham,32-090,1993,7.4,102,156,65.4,1367,252,66,87,75.9,27,46,58.7,4,9,44.4,2,1.9,0.4,+0.1,13,10,4,0,11,Matches
191,Cody Gakpo,nl NED,FW,Liverpool,26-003,1999,19.1,439,579,75.8,6279,1564,271,313,86.6,137,206,66.5,17,31,54.8,3,3.5,3.2,-0.5,33,22,27,8,52,Matches
192,Idrissa Gana Gueye,sn SEN,MF,Everton,35-226,1989,31.0,1116,1290,86.5,18814,5021,560,616,90.9,446,492,90.7,94,131,71.8,3,1.7,1.9,+1.3,19,136,10,3,134,Matches
193,Andrés García,es ESP,"DF,MF",Aston Villa,22-092,2003,3.5,174,201,86.6,2725,577,89,96,92.7,74,82,90.2,7,13,53.8,0,0.2,0.4,-0.2,3,9,8,5,15,Matches
194,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-313,2004,23.8,635,803,79.1,8921,1152,395,446,88.6,180,217,82.9,30,50,60.0,2,4.5,2.7,-2.5,35,21,24,4,56,Matches
195,James Garner,eng ENG,"MF,DF",Everton,24-058,2001,14.7,504,672,75.0,8821,2757,219,257,85.2,228,273,83.5,47,101,46.5,1,1.3,1.3,-0.3,12,50,6,3,46,Matches
196,Tyrique George,eng ENG,FW,Chelsea,19-095,2006,1.1,38,46,82.6,494,72,21,23,91.3,14,17,82.4,0,2,0.0,1,0.7,0.3,+0.3,5,0,1,0,2,Matches
197,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-103,2000,28.2,897,1150,78.0,13817,4266,493,580,85.0,300,368,81.5,63,110,57.3,7,4.5,4.3,+2.5,48,117,37,8,153,Matches
198,Billy Gilmour,sct SCO,MF,Brighton,23-333,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11,Matches
199,Ben Godfrey,eng ENG,DF,Ipswich Town,27-115,1998,1.8,47,57,82.5,657,255,30,33,90.9,16,18,88.9,0,0,,0,0.0,0.0,0.0,0,5,1,0,4,Matches
200,Martial Godo,eng ENG,FW,Fulham,22-057,2003,0.2,3,5,60.0,41,2,2,3,66.7,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
201,Michael Golding,eng ENG,MF,Leicester City,18-352,2006,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
202,João Gomes,br BRA,MF,Wolves,24-087,2001,30.9,1262,1487,84.9,18027,4482,742,815,91.0,385,450,85.6,65,107,60.7,1,1.2,1.8,-0.2,22,107,22,1,148,Matches
203,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-307,2003,7.5,171,255,67.1,2520,888,98,125,78.4,62,88,70.5,6,23,26.1,0,0.9,0.7,-0.9,12,10,12,4,25,Matches
204,Toti Gomes,pt POR,DF,Wolves,26-114,1999,26.0,1272,1494,85.1,21197,7394,577,632,91.3,593,642,92.4,75,152,49.3,1,0.9,0.6,+0.1,9,72,5,3,67,Matches
205,Diego Gómez,py PAR,MF,Brighton,22-044,2003,4.9,206,261,78.9,3195,743,115,135,85.2,74,89,83.1,12,23,52.2,0,0.5,0.8,-0.5,5,12,5,1,20,Matches
206,Joe Gomez,eng ENG,DF,Liverpool,27-352,1997,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches
207,Nicolás González,es ESP,MF,Manchester City,23-127,2002,7.2,520,560,92.9,7739,1760,301,314,95.9,203,219,92.7,10,14,71.4,0,0.1,0.5,-0.1,1,48,4,0,46,Matches
208,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-075,2001,24.8,671,916,73.3,10367,3422,373,434,85.9,226,289,78.2,51,118,43.2,5,4.9,4.9,+0.1,50,61,52,17,93,Matches
209,Ryan Gravenberch,nl NED,MF,Liverpool,22-359,2002,32.5,1595,1795,88.9,23774,5935,873,944,92.5,609,664,91.7,59,97,60.8,4,2.9,3.3,+1.1,25,140,32,1,168,Matches
210,Archie Gray,eng ENG,"DF,MF",Tottenham,19-059,2006,16.5,939,1065,88.2,16414,5046,360,390,92.3,511,551,92.7,55,93,59.1,0,0.1,0.2,-0.1,2,39,0,0,34,Matches
211,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-242,1995,8.0,381,435,87.6,5676,986,246,264,93.2,115,131,87.8,18,26,69.2,1,1.8,1.7,-0.8,24,23,16,0,52,Matches
212,Jacob Greaves,eng ENG,DF,Ipswich Town,24-240,2000,21.5,827,959,86.2,13641,5239,390,419,93.1,394,440,89.5,31,74,41.9,0,0.0,0.2,0.0,2,63,1,0,53,Matches
213,Brajan Gruda,de GER,"FW,MF",Brighton,20-344,2004,5.6,139,189,73.5,1879,639,90,109,82.6,32,45,71.1,9,22,40.9,3,1.5,1.1,+1.5,15,7,10,1,17,Matches
214,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-352,2001,1.6,13,18,72.2,135,43,9,11,81.8,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,2,0,0,1,Matches
215,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-162,1996,8.7,192,264,72.7,3194,816,98,117,83.8,76,100,76.0,13,29,44.8,4,1.1,0.7,+2.9,11,13,17,5,31,Matches
216,Marc Guéhi,eng ENG,DF,Crystal Palace,24-301,2000,33.0,1419,1704,83.3,27112,11081,525,579,90.7,735,826,89.0,147,267,55.1,2,1.5,1.9,+0.5,15,130,11,3,128,Matches
217,Luis Guilherme,br BRA,"MF,FW",West Ham,19-090,2006,1.5,47,56,83.9,727,154,30,31,96.8,13,15,86.7,4,7,57.1,0,0.1,0.1,-0.1,3,3,3,2,3,Matches
218,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-175,1997,33.4,1334,1625,82.1,22040,7192,656,724,90.6,532,608,87.5,104,183,56.8,6,5.8,5.1,+0.2,47,162,70,6,247,Matches
219,Marc Guiu,es ESP,FW,Chelsea,19-126,2006,0.8,11,16,68.8,110,4,9,13,69.2,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
220,İlkay Gündoğan,de GER,MF,Manchester City,34-198,1990,22.8,1408,1576,89.3,21666,4054,803,851,94.4,487,530,91.9,88,140,62.9,5,2.8,3.9,+2.2,37,97,21,2,115,Matches
221,Malo Gusto,fr FRA,DF,Chelsea,21-356,2003,20.4,1176,1360,86.5,19189,4818,576,618,93.2,505,572,88.3,68,111,61.3,1,1.3,1.8,-0.3,21,109,18,6,119,Matches
222,Joško Gvardiol,hr CRO,DF,Manchester City,23-107,2002,33.4,2321,2552,90.9,37878,10350,1123,1190,94.4,1073,1151,93.2,104,151,68.9,0,2.0,2.8,-2.0,25,237,20,1,251,Matches
223,Erling Haaland,no NOR,FW,Manchester City,24-293,2000,27.6,225,341,66.0,2706,532,156,221,70.6,50,75,66.7,4,6,66.7,3,2.8,1.8,+0.2,26,9,7,1,18,Matches
224,Lewis Hall,eng ENG,DF,Newcastle Utd,20-244,2004,24.3,1300,1592,81.7,21999,8891,653,715,91.3,525,617,85.1,104,202,51.5,4,4.3,3.7,-0.3,34,114,17,5,123,Matches
225,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-070,2002,1.5,25,30,83.3,278,29,20,23,87.0,5,7,71.4,0,0,,0,0.1,0.0,-0.1,2,0,0,0,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
226,Marcus Harness,eng ENG,MF,Ipswich Town,29-075,1996,0.5,10,16,62.5,89,23,9,11,81.8,0,1,0.0,0,1,0.0,0,0.0,0.1,0.0,0,0,2,0,2,Matches
227,Jack Harrison,eng ENG,FW,Everton,28-171,1996,21.1,379,601,63.1,6064,2222,216,265,81.5,111,163,68.1,35,102,34.3,0,3.7,3.1,-3.7,32,26,25,11,45,Matches
228,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-100,2002,29.5,1807,2055,87.9,33577,12003,655,705,92.9,974,1061,91.8,163,253,64.4,0,1.0,0.7,-1.0,14,171,10,1,119,Matches
229,Kai Havertz,de GER,"FW,MF",Arsenal,25-333,1999,20.4,401,511,78.5,4833,1010,281,334,84.1,94,114,82.5,5,11,45.5,3,2.4,1.7,+0.6,16,26,8,1,59,Matches
230,Ayden Heaven,eng ENG,DF,Manchester Utd,18-230,2006,1.1,40,49,81.6,695,185,14,17,82.4,24,27,88.9,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches
231,Jan Paul van Hecke,nl NED,DF,Brighton,24-336,2000,29.9,1839,2093,87.9,36200,13878,639,686,93.1,981,1055,93.0,206,315,65.4,1,1.5,1.4,-0.5,13,207,16,4,216,Matches
232,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-104,1996,7.2,159,195,81.5,2061,395,107,123,87.0,40,47,85.1,4,5,80.0,0,0.1,0.3,-0.1,3,7,4,2,12,Matches
233,Dean Henderson,eng ENG,GK,Crystal Palace,28-059,1997,35.0,682,1111,61.4,18786,12431,163,164,99.4,324,326,99.4,191,616,31.0,0,0.1,0.1,-0.1,2,21,1,0,0,Matches
234,Rico Henry,eng ENG,DF,Brentford,27-306,1997,0.9,21,32,65.6,325,145,13,19,68.4,8,11,72.7,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
235,Mads Hermansen,dk DEN,GK,Leicester City,24-303,2000,26.5,654,1073,61.0,17066,12387,151,155,97.4,312,329,94.8,191,584,32.7,0,0.0,0.0,0.0,0,20,1,0,1,Matches
236,Son Heung-min,kr KOR,FW,Tottenham,32-306,1992,22.3,703,890,79.0,9833,2671,437,487,89.7,192,240,80.0,36,75,48.0,9,8.2,5.1,+0.8,50,36,51,6,104,Matches
237,James Hill,eng ENG,DF,Bournemouth,23-120,2002,5.0,159,245,64.9,3098,1094,51,67,76.1,85,110,77.3,21,58,36.2,1,0.3,0.3,+0.7,3,20,6,0,16,Matches
238,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-029,2005,19.4,828,993,83.4,12560,2952,487,533,91.4,265,315,84.1,55,104,52.9,2,1.3,1.5,+0.7,15,33,9,2,63,Matches
239,George Hirst,sct SCO,FW,Ipswich Town,26-084,1999,5.5,58,104,55.8,675,188,40,60,66.7,12,24,50.0,1,2,50.0,1,0.3,0.3,+0.7,4,1,4,0,13,Matches
240,Mason Holgate,eng ENG,"FW,DF",Everton,28-200,1996,0.1,2,2,100.0,55,0,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
241,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-184,2000,23.9,674,820,82.2,9918,1991,396,430,92.1,207,253,81.8,43,84,51.2,2,2.7,2.6,-0.7,44,36,31,11,66,Matches
242,Will Hughes,eng ENG,MF,Crystal Palace,30-023,1995,21.1,672,887,75.8,10702,3723,342,385,88.8,264,320,82.5,44,123,35.8,3,2.7,2.3,+0.3,29,69,14,3,83,Matches
