Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-270,2001,4.7,157,200,78.5,2677,810,73,83,88.0,74,86,86.0,9,25,36.0,0,0.0,0.1,0.0,0,17,1,0,14,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-293,2001,15.3,189,233,81.1,2474,337,119,139,85.6,53,58,91.4,5,9,55.6,0,0.4,0.6,-0.4,3,6,7,0,14,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-072,1993,23.1,633,913,69.3,16971,11613,137,138,99.3,306,321,95.3,187,443,42.2,0,0.0,0.0,0.0,0,10,0,0,0,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-293,1996,21.2,878,992,88.5,13041,2506,480,526,91.3,341,375,90.9,31,45,68.9,0,1.6,1.2,-1.6,16,50,4,1,71,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-089,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-111,2007,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-219,1994,28.0,671,933,71.9,18595,12782,106,108,98.1,337,343,98.3,227,475,47.8,0,0.0,0.0,0.0,1,9,0,0,2,Matches
36,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-109,1996,6.0,185,230,80.4,2637,774,107,118,90.7,65,77,84.4,5,17,29.4,1,0.8,1.0,+0.2,13,15,8,2,34,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-122,1999,1.0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-271,1997,4.5,61,95,64.2,705,157,42,58,72.4,14,25,56.0,1,5,20.0,0,0.1,0.1,-0.1,2,5,2,0,7,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-216,2003,19.5,713,878,81.2,10693,2895,419,458,91.5,244,288,84.7,33,89,37.1,1,2.2,2.3,-1.2,28,52,17,4,69,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-241,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-241,1991,15.8,353,484,72.9,5238,1053,193,223,86.5,123,167,73.7,21,54,38.9,0,1.0,1.4,-1.0,14,22,12,7,37,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-045,2001,3.7,273,304,89.8,4820,1473,111,119,93.3,135,144,93.8,21,32,65.6,0,0.0,0.1,0.0,0,37,1,0,17,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-274,1997,12.6,273,386,70.7,4275,1048,149,183,81.4,99,122,81.1,18,38,47.4,2,1.5,2.9,+0.5,16,16,20,2,35,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-127,2004,26.7,1048,1202,87.2,17638,4406,499,539,92.6,442,482,91.7,86,138,62.3,1,1.3,1.2,-0.3,20,103,22,2,111,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-156,1993,6.3,326,379,86.0,5081,1191,169,191,88.5,138,151,91.4,13,19,68.4,1,0.6,0.4,+0.4,9,29,6,0,33,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-152,1997,16.7,420,533,78.8,5863,1704,267,306,87.3,133,181,73.5,12,19,63.2,4,3.9,4.4,+0.1,23,22,36,8,72,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-130,1999,32.2,1822,2030,89.8,32168,11248,770,810,95.1,892,949,94.0,131,213,61.5,0,0.1,0.4,-0.1,3,143,2,0,107,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-026,1998,2.0,61,110,55.5,1625,873,7,7,100.0,35,38,92.1,19,63,30.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-028,1996,27.1,1547,1668,92.7,27450,8857,586,614,95.4,844,891,94.7,104,136,76.5,0,0.5,0.9,-0.5,5,72,1,0,59,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-150,2001,3.7,202,224,90.2,3829,956,65,66,98.5,119,123,96.7,16,29,55.2,0,0.0,0.0,0.0,0,6,0,0,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-317,1998,17.2,415,527,78.7,6398,1283,239,268,89.2,131,162,80.9,31,55,56.4,6,3.6,2.6,+2.4,26,27,17,8,39,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-319,1997,16.9,916,1040,88.1,14862,3593,439,482,91.1,407,439,92.7,46,61,75.4,0,0.4,1.0,-0.4,10,107,12,2,99,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-301,1993,1.0,20,34,58.8,552,422,2,2,100.0,12,12,100.0,6,20,30.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
