Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-241,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-241,1991,15.8,24,13,7,12,5,6,19,31.6,13,16,0,16,12,36,17,0,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-045,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-274,1997,12.6,6,4,1,3,2,2,10,20.0,8,6,0,6,3,9,12,0,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-127,2004,26.7,71,41,24,32,15,44,72,61.1,28,44,10,34,40,111,41,1,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-156,1993,6.3,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-152,1997,16.7,16,9,4,6,6,3,10,30.0,7,7,1,6,6,22,12,1,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-130,1999,32.2,52,33,34,18,0,21,30,70.0,9,37,17,20,18,70,105,8,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-026,1998,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-028,1996,27.1,35,18,22,13,0,15,30,50.0,15,44,33,11,54,89,177,5,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-150,2001,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-317,1998,17.2,37,22,17,17,3,13,19,68.4,6,19,3,16,10,47,17,1,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-319,1997,16.9,38,20,17,17,4,19,39,48.7,20,24,8,16,36,74,33,1,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-301,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-085,1998,23.2,48,28,22,22,4,25,37,67.6,12,26,8,18,20,68,34,1,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-097,2006,13.5,39,19,14,20,5,17,32,53.1,15,18,8,10,24,63,22,3,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-145,2002,26.4,85,50,54,26,5,47,87,54.0,40,37,14,23,40,125,72,3,Matches
57,Beto,gw GNB,FW,Everton,27-099,1998,14.1,14,6,2,8,4,5,8,62.5,3,8,1,7,3,17,19,1,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-333,1996,2.0,14,5,7,6,1,3,4,75.0,1,3,0,3,5,19,2,0,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-253,1996,14.4,47,29,19,25,3,18,33,54.5,15,9,6,3,16,63,35,4,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-302,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-125,2004,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-096,1991,1.7,6,1,5,1,0,4,4,100.0,0,4,2,2,3,9,12,0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-118,2000,2.6,6,4,3,3,0,2,3,66.7,1,2,1,1,4,10,16,0,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-141,1996,30.2,37,24,13,10,14,17,37,45.9,20,21,3,18,16,53,23,0,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-305,2003,6.3,11,8,5,4,2,8,17,47.1,9,4,0,4,3,14,21,0,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-317,2002,26.1,36,20,26,10,0,20,27,74.1,7,30,22,8,23,59,183,4,Matches
67,James Bree,eng ENG,DF,Southampton,27-211,1997,9.9,15,10,5,9,1,7,17,41.2,10,8,3,5,8,23,24,0,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-022,1999,5.0,3,2,0,2,1,1,9,11.1,8,2,1,1,0,3,4,0,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-035,1998,6.7,7,3,2,5,0,3,9,33.3,6,6,1,5,4,11,5,0,Matches
70,Armando Broja,al ALB,FW,Everton,23-242,2001,3.7,3,1,1,1,1,0,0,,0,3,0,3,1,4,4,0,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-306,1997,9.2,11,4,2,6,3,1,14,7.1,13,16,2,14,5,16,8,1,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-136,1996,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-182,1998,18.7,40,21,21,18,1,17,22,77.3,5,35,20,15,15,55,70,0,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-138,2004,16.4,53,32,17,22,14,21,67,31.3,46,32,6,26,11,64,14,0,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-201,1995,16.1,15,10,12,3,0,7,9,77.8,2,18,13,5,14,29,116,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,33-001,1992,34.0,34,19,20,12,2,17,32,53.1,15,32,23,9,25,59,180,3,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-168,1994,10.3,13,11,1,9,3,4,10,40.0,6,7,2,5,10,23,13,2,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-126,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-189,2001,34.2,103,64,37,51,15,50,80,62.5,30,45,10,35,49,152,52,1,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-110,1991,5.5,11,5,4,2,5,4,7,57.1,3,5,1,4,4,15,1,1,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-273,1999,19.8,39,19,18,20,1,19,47,40.4,28,24,9,15,25,64,33,2,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-356,2002,10.3,26,18,15,9,2,18,29,62.1,11,12,6,6,9,35,25,0,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-055,1997,17.6,9,7,1,4,4,2,6,33.3,4,6,2,4,6,15,19,0,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-056,1993,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-253,2002,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-076,1992,14.8,77,46,45,23,9,41,66,62.1,25,33,10,23,12,89,48,3,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-194,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-276,1997,20.0,47,27,25,19,3,24,34,70.6,10,18,7,11,21,68,57,2,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-182,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-156,1995,18.3,46,29,28,15,3,26,45,57.8,19,15,6,9,22,68,83,0,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-309,1999,11.8,20,16,7,12,1,12,23,52.2,11,19,9,10,19,39,57,3,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-309,1999,9.3,10,6,4,6,0,6,7,85.7,1,5,2,3,9,19,46,1,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-083,1997,7.9,12,5,4,6,2,6,13,46.2,7,8,1,7,3,15,3,0,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-351,2004,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-197,1997,0.5,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,1,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-140,1996,1.5,4,4,2,2,0,0,3,0.0,3,3,1,2,4,8,11,0,Matches
97,Chiquinho,pt POR,MF,Wolves,25-094,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-221,1997,1.5,1,1,1,0,0,1,3,33.3,2,4,2,2,5,6,2,0,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-077,1995,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-069,2001,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-168,2000,11.7,28,17,11,9,8,16,32,50.0,16,6,0,6,7,35,29,1,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-035,1991,5.4,12,8,8,3,1,6,11,54.5,5,4,2,2,3,15,14,1,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-074,1993,16.0,12,8,6,5,1,3,6,50.0,3,27,20,7,13,25,62,2,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-211,1988,2.2,2,1,1,1,0,2,3,66.7,1,5,3,2,1,3,7,0,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-010,2001,35.0,37,22,22,11,4,22,34,64.7,12,71,51,20,32,69,214,2,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-127,2004,2.0,12,9,6,6,0,5,6,83.3,1,2,1,1,2,14,3,0,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-073,2003,32.0,42,30,22,17,3,16,25,64.0,9,35,24,11,32,74,104,4,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-096,1997,31.3,80,42,41,35,4,36,66,54.5,30,30,11,19,40,120,66,0,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-225,1996,0.8,5,5,1,4,0,0,4,0.0,4,0,0,0,0,5,2,0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-261,1992,9.7,17,11,10,5,2,7,18,38.9,11,13,11,2,8,25,37,1,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-355,1999,1.2,6,4,4,2,0,2,2,100.0,0,3,1,2,5,11,1,0,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-146,1989,7.5,9,5,4,4,1,7,9,77.8,2,9,4,5,8,17,34,0,Matches
