Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
161,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-036,2003,3.0,4,3,2,1,1,1,5,20.0,4,5,1,4,1,5,2,0,Matches
162,Yunus Emre Konak,tr TUR,"FW,MF",Brentford,19-120,2006,0.5,4,4,0,4,0,1,2,50.0,1,2,0,2,0,4,0,0,Matches
163,Julio Enciso,py PAR,"FW,MF",Ipswich Town,21-107,2004,7.9,11,8,2,6,3,4,9,44.4,5,3,0,3,1,12,4,0,Matches
164,Julio Enciso,py PAR,"MF,FW",Brighton,21-107,2004,3.3,0,0,0,0,0,0,2,0.0,2,2,0,2,0,0,1,0,Matches
165,Wataru Endo,jp JPN,MF,Liverpool,32-090,1993,2.6,11,8,6,5,0,6,10,60.0,4,7,1,6,3,14,7,0,Matches
166,Christian Eriksen,dk DEN,MF,Manchester Utd,33-085,1992,11.4,19,9,4,12,3,11,26,42.3,15,14,4,10,7,26,7,0,Matches
167,Romain Esse,eng ENG,MF,Crystal Palace,19-362,2005,0.4,2,2,2,0,0,2,2,100.0,0,1,0,1,1,3,0,0,Matches
168,Pervis Estupiñán,ec ECU,DF,Brighton,27-109,1998,24.7,58,39,30,21,7,31,46,67.4,15,16,2,14,34,92,55,2,Matches
169,Evanilson,br BRA,FW,Bournemouth,25-216,1999,22.9,16,10,6,5,5,8,12,66.7,4,10,2,8,0,16,21,0,Matches
170,Jake Evans,,FW,Leicester City,,,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
171,Jonny Evans,nir NIR,DF,Manchester Utd,37-127,1988,3.2,7,5,4,3,0,2,4,50.0,2,2,1,1,4,11,13,0,Matches
172,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-315,1998,27.0,37,22,13,15,9,17,35,48.6,18,27,0,27,11,48,9,3,Matches
173,Łukasz Fabiański,pl POL,GK,West Ham,40-022,1985,11.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
174,Wout Faes,be BEL,DF,Leicester City,27-037,1998,28.3,39,23,25,12,2,23,43,53.5,20,45,33,12,26,65,160,4,Matches
175,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,21-063,2004,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
176,João Félix,pt POR,"FW,MF",Chelsea,25-181,1999,4.1,8,3,2,5,1,5,9,55.6,4,2,0,2,3,11,2,0,Matches
177,Evan Ferguson,ie IRL,FW,West Ham,20-203,2004,1.7,3,1,0,1,2,0,0,,0,2,1,1,1,4,1,0,Matches
178,Evan Ferguson,ie IRL,FW,Brighton,20-203,2004,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0,Matches
179,Bruno Fernandes,pt POR,MF,Manchester Utd,30-244,1994,30.6,76,47,24,37,15,29,75,38.7,46,32,4,28,25,101,34,2,Matches
180,Mateus Fernandes,pt POR,MF,Southampton,20-304,2004,29.3,86,46,43,28,15,33,64,51.6,31,40,6,34,21,107,31,6,Matches
181,Enzo Fernández,ar ARG,MF,Chelsea,24-113,2001,29.7,63,32,17,29,17,31,83,37.3,52,36,7,29,13,76,22,4,Matches
182,Mark Flekken,nl NED,GK,Brentford,31-331,1993,33.4,4,4,4,0,0,3,9,33.3,6,2,0,2,0,4,26,4,Matches
183,Phil Foden,eng ENG,"MF,FW",Manchester City,24-347,2000,18.8,12,5,5,4,3,7,17,41.2,10,12,1,11,9,21,7,1,Matches
184,Wesley Fofana,fr FRA,DF,Chelsea,24-144,2000,13.0,13,12,6,7,0,6,14,42.9,8,14,9,5,14,27,55,2,Matches
185,Carlos Forbs,pt POR,"MF,FW",Wolves,21-052,2004,2.7,8,5,5,2,1,4,6,66.7,2,3,0,3,1,9,2,1,Matches
186,Fraser Forster,eng ENG,GK,Tottenham,37-054,1988,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3,Matches
187,Matheus França,br BRA,"FW,MF",Crystal Palace,21-039,2004,0.3,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
188,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-075,1994,3.4,6,2,2,4,0,4,6,66.7,2,1,1,0,1,7,9,0,Matches
189,Tyler Fredricson,eng ENG,DF,Manchester Utd,20-076,2005,1.8,5,3,3,2,0,1,2,50.0,1,2,0,2,1,6,11,0,Matches
190,Niclas Füllkrug,de GER,FW,West Ham,32-090,1993,7.4,2,2,0,1,1,2,3,66.7,1,1,0,1,0,2,12,0,Matches
191,Cody Gakpo,nl NED,FW,Liverpool,26-003,1999,19.1,26,14,5,12,9,11,23,47.8,12,19,2,17,11,37,16,1,Matches
192,Idrissa Gana Gueye,sn SEN,MF,Everton,35-226,1989,31.0,124,74,57,51,16,54,90,60.0,36,45,9,36,44,168,30,1,Matches
193,Andrés García,es ESP,"DF,MF",Aston Villa,22-092,2003,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,10,2,Matches
194,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-313,2004,23.8,29,18,10,6,13,12,36,33.3,24,19,0,19,13,42,11,2,Matches
195,James Garner,eng ENG,"MF,DF",Everton,24-058,2001,14.7,41,27,24,15,2,19,35,54.3,16,15,3,12,17,58,36,0,Matches
196,Tyrique George,eng ENG,FW,Chelsea,19-095,2006,1.1,2,0,2,0,0,2,3,66.7,1,0,0,0,1,3,1,0,Matches
197,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,25-103,2000,28.2,40,19,14,20,6,15,30,50.0,15,16,4,12,20,60,28,1,Matches
198,Billy Gilmour,sct SCO,MF,Brighton,23-333,2001,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0,Matches
199,Ben Godfrey,eng ENG,DF,Ipswich Town,27-115,1998,1.8,1,0,1,0,0,1,1,100.0,0,1,1,0,2,3,3,0,Matches
200,Martial Godo,eng ENG,FW,Fulham,22-057,2003,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
201,Michael Golding,eng ENG,MF,Leicester City,18-352,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
202,João Gomes,br BRA,MF,Wolves,24-087,2001,30.9,105,62,53,48,4,42,102,41.2,60,42,4,38,25,130,32,0,Matches
203,Rodrigo Gomes,pt POR,"DF,FW",Wolves,21-307,2003,7.5,21,13,12,9,0,10,19,52.6,9,8,1,7,5,26,20,1,Matches
204,Toti Gomes,pt POR,DF,Wolves,26-114,1999,26.0,53,38,37,14,2,30,37,81.1,7,28,17,11,23,76,134,5,Matches
205,Diego Gómez,py PAR,MF,Brighton,22-044,2003,4.9,17,10,8,7,2,9,18,50.0,9,11,0,11,7,24,9,1,Matches
206,Joe Gomez,eng ENG,DF,Liverpool,27-352,1997,5.8,13,10,5,7,1,11,16,68.8,5,9,6,3,7,20,20,2,Matches
207,Nicolás González,es ESP,MF,Manchester City,23-127,2002,7.2,15,6,5,6,4,6,11,54.5,5,9,0,9,5,20,17,0,Matches
208,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-075,2001,24.8,31,17,9,18,4,12,34,35.3,22,24,2,22,6,37,9,2,Matches
209,Ryan Gravenberch,nl NED,MF,Liverpool,22-359,2002,32.5,65,34,25,29,11,30,51,58.8,21,34,10,24,57,122,56,1,Matches
210,Archie Gray,eng ENG,"DF,MF",Tottenham,19-059,2006,16.5,13,7,4,6,3,7,17,41.2,10,19,10,9,13,26,42,2,Matches
211,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-242,1995,8.0,9,5,4,2,3,2,5,40.0,3,12,2,10,2,11,5,1,Matches
212,Jacob Greaves,eng ENG,DF,Ipswich Town,24-240,2000,21.5,36,19,19,16,1,21,33,63.6,12,36,24,12,18,54,127,2,Matches
213,Brajan Gruda,de GER,"FW,MF",Brighton,20-344,2004,5.6,14,6,6,5,3,7,14,50.0,7,8,0,8,2,16,5,1,Matches
214,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-352,2001,1.6,4,1,1,1,2,3,10,30.0,7,1,1,0,0,4,1,0,Matches
215,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-162,1996,8.7,14,4,2,5,7,3,15,20.0,12,9,0,9,5,19,3,0,Matches
216,Marc Guéhi,eng ENG,DF,Crystal Palace,24-301,2000,33.0,56,31,32,22,2,30,46,65.2,16,54,22,32,25,81,156,2,Matches
217,Luis Guilherme,br BRA,"MF,FW",West Ham,19-090,2006,1.5,1,0,1,0,0,0,3,0.0,3,7,0,7,3,4,2,0,Matches
218,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-175,1997,33.4,75,43,36,28,11,31,64,48.4,33,34,9,25,27,102,41,4,Matches
219,Marc Guiu,es ESP,FW,Chelsea,19-126,2006,0.8,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
220,İlkay Gündoğan,de GER,MF,Manchester City,34-198,1990,22.8,24,13,4,15,5,10,23,43.5,13,14,0,14,13,37,22,0,Matches
221,Malo Gusto,fr FRA,DF,Chelsea,21-356,2003,20.4,43,28,26,15,2,24,47,51.1,23,29,8,21,23,66,48,5,Matches
222,Joško Gvardiol,hr CRO,DF,Manchester City,23-107,2002,33.4,51,34,24,17,10,19,37,51.4,18,40,20,20,38,89,117,8,Matches
223,Erling Haaland,no NOR,FW,Manchester City,24-293,2000,27.6,9,5,3,3,3,2,6,33.3,4,11,1,10,5,14,23,0,Matches
224,Lewis Hall,eng ENG,DF,Newcastle Utd,20-244,2004,24.3,58,41,28,22,8,40,74,54.1,34,33,18,15,18,76,75,3,Matches
225,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-070,2002,1.5,1,0,0,0,1,0,2,0.0,2,0,0,0,0,1,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
226,Marcus Harness,eng ENG,MF,Ipswich Town,29-075,1996,0.5,1,0,0,0,1,0,3,0.0,3,2,1,1,0,1,1,0,Matches
227,Jack Harrison,eng ENG,FW,Everton,28-171,1996,21.1,30,21,12,11,7,14,40,35.0,26,18,2,16,9,39,32,2,Matches
228,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-100,2002,29.5,27,19,13,11,3,19,34,55.9,15,60,38,22,30,57,133,6,Matches
229,Kai Havertz,de GER,"FW,MF",Arsenal,25-333,1999,20.4,16,9,3,6,7,4,15,26.7,11,22,4,18,6,22,31,1,Matches
230,Ayden Heaven,eng ENG,DF,Manchester Utd,18-230,2006,1.1,3,3,1,2,0,2,2,100.0,0,2,2,0,1,4,6,0,Matches
231,Jan Paul van Hecke,nl NED,DF,Brighton,24-336,2000,29.9,40,26,20,19,1,20,38,52.6,18,32,19,13,23,63,132,2,Matches
232,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-104,1996,7.2,6,4,2,1,3,2,6,33.3,4,9,0,9,2,8,11,0,Matches
233,Dean Henderson,eng ENG,GK,Crystal Palace,28-059,1997,35.0,2,1,2,0,0,2,6,33.3,4,0,0,0,0,2,21,0,Matches
234,Rico Henry,eng ENG,DF,Brentford,27-306,1997,0.9,0,0,0,0,0,0,4,0.0,4,3,1,2,1,1,2,0,Matches
235,Mads Hermansen,dk DEN,GK,Leicester City,24-303,2000,26.5,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,13,4,Matches
236,Son Heung-min,kr KOR,FW,Tottenham,32-306,1992,22.3,17,9,3,8,6,5,23,21.7,18,10,0,10,5,22,16,1,Matches
237,James Hill,eng ENG,DF,Bournemouth,23-120,2002,5.0,15,8,6,6,3,3,11,27.3,8,5,0,5,9,24,31,0,Matches
238,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-029,2005,19.4,26,18,8,10,8,11,27,40.7,16,8,3,5,15,41,37,1,Matches
239,George Hirst,sct SCO,FW,Ipswich Town,26-084,1999,5.5,3,3,1,0,2,1,3,33.3,2,1,1,0,2,5,9,0,Matches
240,Mason Holgate,eng ENG,"FW,DF",Everton,28-200,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
241,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-184,2000,23.9,20,14,7,8,5,11,17,64.7,6,11,0,11,13,33,11,1,Matches
242,Will Hughes,eng ENG,MF,Crystal Palace,30-023,1995,21.1,61,33,17,31,13,27,59,45.8,32,30,14,16,19,80,24,3,Matches
243,Dean Huijsen,es ESP,DF,Bournemouth,20-026,2005,24.8,33,23,16,16,1,15,25,60.0,10,36,28,8,49,82,175,4,Matches
244,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-192,2003,25.7,31,12,14,10,7,13,45,28.9,32,25,1,24,10,41,13,1,Matches
245,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-095,2003,19.4,3,1,0,2,1,0,4,0.0,4,5,0,5,1,4,6,0,Matches
246,Igor,br BRA,DF,Brighton,27-092,1998,10.0,4,4,2,1,1,4,10,40.0,6,23,14,9,4,8,39,1,Matches
247,Danny Ings,eng ENG,"FW,MF",West Ham,32-291,1992,3.2,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0,Matches
248,Tim Iroegbunam,eng ENG,MF,Everton,21-314,2003,6.3,28,13,13,10,5,14,23,60.9,9,17,4,13,15,43,11,1,Matches
249,Andy Irving,sct SCO,MF,West Ham,24-362,2000,1.8,7,4,3,3,1,1,5,20.0,4,5,1,4,1,8,5,0,Matches
250,Alexander Isak,se SWE,FW,Newcastle Utd,25-231,1999,28.6,12,5,2,3,7,5,13,38.5,8,18,2,16,3,15,17,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
251,Alex Iwobi,ng NGA,"FW,MF",Fulham,29-007,1996,31.1,39,23,13,19,7,19,30,63.3,11,25,1,24,13,52,28,0,Matches
252,Nicolas Jackson,sn SEN,FW,Chelsea,23-324,2001,24.3,22,13,6,7,9,5,10,50.0,5,14,2,12,3,25,15,0,Matches
253,Reece James,eng ENG,"DF,MF",Chelsea,25-153,1999,9.3,9,9,5,3,1,3,9,33.3,6,12,4,8,12,21,18,4,Matches
254,Vitaly Janelt,de GER,MF,Brentford,27-000,1998,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1,Matches
255,Vitezslav Jaros,cz CZE,GK,Liverpool,23-291,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
256,Daniel Jebbison,eng ENG,FW,Bournemouth,21-270,2003,0.9,3,2,2,1,0,3,5,60.0,2,2,1,1,1,4,1,0,Matches
257,Mathias Jensen,dk DEN,MF,Brentford,29-129,1996,9.1,13,9,6,5,2,7,15,46.7,8,13,4,9,8,21,13,1,Matches
258,Gabriel Jesus,br BRA,FW,Arsenal,28-037,1997,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0,Matches
259,Raúl Jiménez,mx MEX,FW,Fulham,34-005,1991,24.7,33,23,8,17,8,7,20,35.0,13,19,5,14,10,43,19,3,Matches
260,Kim Jisoo,kr KOR,DF,Brentford,20-137,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
261,João Pedro,br BRA,"FW,MF",Brighton,23-226,2001,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0,Matches
262,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-269,1996,26.6,57,35,23,23,11,25,44,56.8,19,37,7,30,23,80,47,2,Matches
263,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-106,2000,15.0,38,22,23,12,3,20,41,48.8,21,22,5,17,13,51,54,1,Matches
264,Brennan Johnson,wls WAL,FW,Tottenham,23-352,2001,23.1,39,26,9,20,10,16,31,51.6,15,25,3,22,4,43,11,0,Matches
265,Sam Johnstone,eng ENG,GK,Wolves,32-046,1993,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
266,Curtis Jones,eng ENG,"MF,DF",Liverpool,24-100,2001,17.0,36,20,6,22,8,17,25,68.0,8,16,7,9,6,42,8,2,Matches
267,Jorginho,it ITA,MF,Arsenal,33-141,1991,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2,Matches
268,Diogo Jota,pt POR,FW,Liverpool,28-157,1996,12.8,14,8,2,8,4,7,19,36.8,12,9,0,9,7,21,6,0,Matches
269,James Justin,eng ENG,DF,Leicester City,27-076,1998,29.7,49,29,25,19,5,28,51,54.9,23,41,14,27,44,93,129,3,Matches
270,Filip Jørgensen,dk DEN,GK,Chelsea,23-024,2002,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,Matches
271,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-215,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0,Matches
272,Daichi Kamada,jp JPN,MF,Crystal Palace,28-278,1996,15.8,45,27,19,22,4,13,38,34.2,25,21,5,16,16,61,14,0,Matches
273,Boubacar Kamara,fr FRA,MF,Aston Villa,25-168,1999,16.3,49,20,28,17,4,28,54,51.9,26,17,7,10,17,66,48,3,Matches
274,Michael Kayode,it ITA,DF,Brentford,20-304,2004,3.2,13,8,9,4,0,7,7,100.0,0,0,0,0,4,17,13,0,Matches
275,Michael Keane,eng ENG,DF,Everton,32-119,1993,9.5,10,7,7,2,1,7,13,53.8,6,11,7,4,10,20,55,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
276,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-168,1998,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,Matches
277,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-216,1998,3.4,5,4,4,1,0,1,1,100.0,0,6,4,2,1,6,17,0,Matches
278,Milos Kerkez,hu HUN,DF,Bournemouth,21-184,2003,34.2,50,26,25,19,6,23,37,62.2,14,36,11,25,42,92,103,3,Matches
279,Bilal El Khannouss,ma MAR,MF,Leicester City,21-000,2004,22.3,46,26,15,26,5,15,28,53.6,13,21,4,17,6,52,9,3,Matches
280,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-070,2004,5.6,5,4,4,1,0,2,3,66.7,1,5,4,1,3,8,29,1,Matches
281,Max Kilman,eng ENG,DF,West Ham,27-352,1997,34.2,33,20,13,17,3,21,25,84.0,4,55,37,18,38,71,196,5,Matches
282,Joshua King,eng ENG,"MF,FW",Fulham,18-127,2007,0.9,5,3,2,3,0,0,2,0.0,2,2,0,2,1,6,1,0,Matches
283,Antonín Kinský,cz CZE,GK,Tottenham,22-058,2003,4.0,3,1,3,0,0,1,1,100.0,0,0,0,0,0,3,5,1,Matches
284,Jakub Kiwior,pl POL,DF,Arsenal,25-084,2000,9.5,13,7,7,5,1,8,11,72.7,3,8,5,3,3,16,37,2,Matches
285,Justin Kluivert,nl NED,"MF,FW",Bournemouth,26-005,1999,24.0,21,9,4,10,7,4,21,19.0,17,24,0,24,13,34,23,1,Matches
286,Ibrahima Konaté,fr FRA,DF,Liverpool,25-350,1999,25.8,36,25,24,11,1,24,34,70.6,10,27,15,12,12,48,124,2,Matches
287,Ezri Konsa,eng ENG,DF,Aston Villa,27-199,1997,29.6,32,17,19,9,4,18,22,81.8,4,18,10,8,21,53,101,4,Matches
288,Mateo Kovačić,hr CRO,MF,Manchester City,31-004,1994,22.8,67,38,22,38,7,30,63,47.6,33,20,0,20,20,87,20,1,Matches
289,Caleb Kporha,eng ENG,DF,Crystal Palace,18-299,2006,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,Matches
290,Emil Krafth,se SWE,DF,Newcastle Utd,30-281,1994,3.2,4,2,2,1,1,2,3,66.7,1,5,4,1,2,6,11,0,Matches
291,Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-281,2000,26.9,35,21,7,17,11,10,27,37.0,17,24,1,23,4,39,8,2,Matches
292,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,25-015,2000,26.3,45,23,17,13,15,19,51,37.3,32,34,5,29,13,58,10,1,Matches
293,Maxence Lacroix,fr FRA,DF,Crystal Palace,25-034,2000,31.6,67,40,51,15,1,32,47,68.1,15,43,18,25,52,119,190,2,Matches
294,Adam Lallana,eng ENG,MF,Southampton,37-000,1988,4.0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0,Matches
295,Tariq Lamptey,gh GHA,DF,Brighton,24-222,2000,8.9,14,10,8,6,0,7,22,31.8,15,14,7,7,6,20,22,1,Matches
296,Will Lankshear,eng ENG,"FW,MF",Tottenham,20-020,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
297,Roméo Lavia,be BEL,MF,Chelsea,21-124,2004,7.6,21,13,5,12,4,9,19,47.4,10,6,0,6,14,35,8,0,Matches
298,Mario Lemina,ga GAB,"MF,DF",Wolves,31-251,1993,15.2,51,31,27,19,5,20,29,69.0,9,12,7,5,27,78,50,3,Matches
299,Bernd Leno,de GER,GK,Fulham,33-067,1992,35.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,9,4,Matches
300,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-197,1994,22.6,30,15,12,14,4,17,33,51.5,16,32,15,17,37,67,63,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
301,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-170,2004,20.2,29,19,13,12,4,13,21,61.9,8,28,7,21,13,42,43,1,Matches
302,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-077,2001,31.5,44,26,23,15,6,26,44,59.1,18,24,9,15,19,63,71,3,Matches
303,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-226,2006,13.0,22,14,10,9,3,10,10,100.0,0,2,1,1,6,28,20,0,Matches
304,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-271,1999,23.6,30,22,17,12,1,23,32,71.9,9,29,21,8,33,63,96,0,Matches
305,Pedro Lima,br BRA,DF,Wolves,18-313,2006,0.8,1,0,0,0,1,1,3,33.3,2,0,0,0,2,3,5,0,Matches
306,Victor Lindelöf,se SWE,DF,Manchester Utd,30-297,1994,5.4,5,1,5,0,0,2,3,66.7,1,4,2,2,7,12,33,1,Matches
307,Jesper Lindstrøm,dk DEN,FW,Everton,25-070,2000,13.8,45,25,24,19,2,19,55,34.5,36,15,3,12,12,57,17,0,Matches
308,Valentino Livramento,eng ENG,DF,Newcastle Utd,22-179,2002,28.6,52,34,33,15,4,30,56,53.6,26,34,10,24,21,73,99,1,Matches
309,Sean Longstaff,eng ENG,MF,Newcastle Utd,27-192,1997,8.9,27,16,10,9,8,18,27,66.7,9,17,5,12,7,34,8,0,Matches
310,Saša Lukić,rs SRB,MF,Fulham,28-270,1996,24.1,66,37,21,39,6,21,53,39.6,32,19,7,12,26,92,32,0,Matches
311,Joe Lumley,eng ENG,GK,Southampton,30-084,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,3,Matches
312,Massimo Luongo,au AUS,MF,Ipswich Town,32-227,1992,2.2,8,5,6,1,1,4,7,57.1,3,4,2,2,2,10,2,0,Matches
313,Ian Maatsen,nl NED,DF,Aston Villa,23-061,2002,10.6,27,15,16,8,3,16,22,72.7,6,11,0,11,15,42,33,2,Matches
314,Alexis Mac Allister,ar ARG,MF,Liverpool,26-137,1998,28.6,95,58,28,51,16,55,104,52.9,49,61,6,55,22,117,29,1,Matches
315,James Maddison,eng ENG,MF,Tottenham,28-168,1996,20.1,31,19,8,16,7,9,29,31.0,20,15,4,11,12,43,19,1,Matches
316,Noni Madueke,eng ENG,FW,Chelsea,23-061,2002,20.1,22,15,7,12,3,13,34,38.2,21,17,0,17,8,30,11,0,Matches
317,Gabriel Magalhães,br BRA,DF,Arsenal,27-142,1997,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2,Matches
318,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,24-002,2001,1.3,2,1,0,2,0,1,3,33.3,2,2,2,0,1,3,2,0,Matches
319,Harry Maguire,eng ENG,DF,Manchester Utd,32-066,1993,17.1,26,13,20,5,1,13,18,72.2,5,14,12,2,37,63,72,1,Matches
320,Kobbie Mainoo,eng ENG,MF,Manchester Utd,20-021,2005,16.7,42,25,16,13,13,22,36,61.1,14,16,2,14,19,61,12,1,Matches
321,Tyrell Malacia,nl NED,DF,Manchester Utd,25-266,1999,1.1,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,1,1,Matches
322,Donyell Malen,nl NED,FW,Aston Villa,26-121,1999,3.3,7,4,3,3,1,1,4,25.0,3,1,0,1,0,7,1,0,Matches
323,Orel Mangala,be BEL,MF,Everton,27-053,1998,14.0,16,8,3,11,2,5,8,62.5,3,8,3,5,21,37,24,1,Matches
324,Ryan Manning,ie IRL,"DF,MF",Southampton,28-330,1996,16.2,28,17,16,10,2,14,26,53.8,12,20,11,9,17,45,45,0,Matches
325,Solly March,eng ENG,"FW,MF",Brighton,30-294,1994,1.9,6,3,2,2,2,5,8,62.5,3,3,0,3,2,8,2,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
326,Omar Marmoush,eg EGY,"FW,MF",Manchester City,26-092,1999,11.1,11,6,2,7,2,7,15,46.7,8,15,1,14,5,16,3,0,Matches
327,Gabriel Martinelli,br BRA,"FW,MF",Arsenal,23-326,2001,22.7,20,15,8,5,7,7,23,30.4,16,10,0,10,4,24,15,0,Matches
328,Emiliano Martínez,ar ARG,GK,Aston Villa,32-250,1992,33.0,3,3,3,0,0,2,2,100.0,0,1,0,1,0,3,17,6,Matches
329,Lisandro Martínez,ar ARG,DF,Manchester Utd,27-112,1998,19.5,40,24,25,12,3,21,36,58.3,15,22,8,14,32,72,57,1,Matches
330,Pape Matar Sarr,sn SEN,MF,Tottenham,22-238,2002,19.2,44,32,17,22,5,11,23,47.8,12,23,9,14,26,70,20,1,Matches
331,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27-316,1997,28.0,17,12,4,11,2,3,16,18.8,13,16,3,13,2,19,22,0,Matches
332,Stephy Mavididi,eng ENG,FW,Leicester City,26-344,1998,17.9,34,19,16,10,8,14,42,33.3,28,26,2,24,11,45,15,0,Matches
